temp,rain,outer,tops,bottoms
-8.2,80,3,3,2
-8.1,50,3,3,2
-7.4,0,3,3,2
-4.3,0,3,3,2
-2.1,30,3,2,1
-1.8,0,3,3,2
-1.6,0,3,3,2
-0.1,30,3,2,1
1.9,0,3,3,2
2.9,0,3,2,1
2.9,0,3,3,2
3.3,30,3,2,1
4.0,50,3,2,2
4.4,100,2,3,2
4.6,90,2,3,1
6.8,30,3,1,2
6.8,0,3,1,1
6.9,80,2,3,2
6.9,20,2,3,1
7.3,0,3,1,2
8.1,0,3,1,2
9.4,30,3,2,2
9.4,80,2,2,2
9.4,50,3,3,1
9.6,0,2,2,2
9.7,0,2,3,1
10.5,30,3,2,1
10.5,0,2,2,2
11.2,0,2,2,2
11.4,30,2,1,1
12.2,0,1,1,2
12.4,0,1,2,2
12.7,0,1,1,1
12.9,30,2,1,2
13.0,50,2,1,2
13.0,100,2,2,1
13.1,90,2,1,2
13.3,30,1,2,2
13.4,0,1,3,1
13.5,80,2,1,1
13.6,20,1,2,2
13.8,0,0,2,1
14.3,0,0,3,1
14.4,30,1,1,2
14.4,80,2,1,1
14.9,50,1,1,1
15.0,0,0,2,1
15.3,0,1,1,1
16.3,30,1,0,1
16.4,0,1,0,2
16.8,0,0,2,2
16.9,30,1,1,2
17.1,0,1,1,1
17.2,0,0,2,1
17.6,0,1,1,1
18.1,30,1,2,2
18.6,50,2,1,1
18.7,100,2,0,2
18.8,90,2,0,1
19.1,30,1,1,1
19.1,0,1,0,1
19.1,80,2,0,2
19.2,20,1,0,1
19.3,0,0,1,1
19.3,0,0,1,1
19.3,30,0,1,2
19.5,80,2,0,2
19.9,50,0,1,1
20.1,0,0,0,1
20.9,0,0,0,1
21.3,30,0,1,2
21.8,0,0,1,0
21.8,0,0,0,0
21.9,30,1,1,1
21.9,0,0,0,0
22.0,0,0,0,0
22.1,0,0,0,1
22.1,30,1,0,1
22.8,50,0,0,0
22.9,100,0,0,1
23.6,90,0,0,2
23.8,30,0,0,1
23.8,0,0,0,1
24.1,80,0,0,1
24.5,20,0,0,1
26.7,0,0,0,0
27.0,0,0,0,0
27.0,30,0,0,1
27.1,30,0,0,1
27.5,50,0,0,0
27.5,0,0,0,1
28.0,90,0,0,0
29.0,100,0,0,0
30.2,0,0,0,0
30.4,80,0,0,0
32.5,0,0,0,0
32.9,40,0,0,0
36.9,10,0,0,0
